game-design.game-feel.combat | ~ | How attacking and being hit feels: impact, weight, feedback.
game-design.progression.complexity.easy-to-grasp | + | The systems are simple enough to use straight away. **Distinct from `.rewarding-once-learned`**, which pays of
game-design.co-op-design.needs-a-full-team | - | The game is not survivable below its full player count, so one missing player ends the run.
game-design.level-design.no-memorable-moments | - | The levels hold nothing the player wants to go back for — no set piece, no place they remember afterwards. **D
game-design.readability.cannot-spot-what-you-need | - | Items, objectives and interactive things do not stand out from the scenery, so the player hunts for them.
community.population.dead-in-my-region | - | There are players, and not where this player lives, so their matches never fill. **Distinct from `.dead-game`*
live-ops.abandonment.finished-not-abandoned | + | Updates stopped because the game was complete, and the player says so on purpose. **The same fact as `.updates
game-design.ui-ux.a-choice-is-locked-at-first-launch | - | Something set on the first run — a name, a region, a profile — can never be changed afterwards.
narrative.tone.tone-swings-around | - | The game switches between serious and joking without settling, so neither lands. **Distinct from `.takes-itsel
game-design.ai-teammates.cannot-command-your-bots | - | There is no working way to tell bot companions where to go or what to do. **Distinct from `.cannot-configure-y
game-design.progression.build-and-customisation.one-slot-is-compulsory | - | A build has a slot that must always hold the same thing, so it is not a choice. **Distinct from `.one-option-d
engineering.matchmaking.playerbase-split-across-options | - | The remaining players are spread across too many modes, acts or difficulties, so no single queue fills. **Dist
engineering.access.plays-offline | + | The game runs with no connection, so a bad line or a dead server does not stop play. **The inverse of `.requir
game-design.readability.cannot-tell-friend-from-enemy | - | Teammates and enemies read the same in the moment, so the player shoots their own team. **Distinct from `.enem
audio.sound-effects.cues-warn-you-in-time | + | Sound tells the player what is coming and from where, early enough to act on it. **Completes the set with `.no
engineering.stability.rock-solid | + | Runs without crashing, freezing or losing progress. **The subject had six negative modes and no positive.**
publishing.availability.left-the-subscription-service | - | The game was removed from a subscription the player's group was using, so they can no longer play together.
narrative.story.cutscenes-are-badly-made | - | The cinematics are poorly paced, shot or directed, whatever the plot itself does. **Distinct from `.thin-or-fo
engineering.access.stopped-working-on-my-setup | - | The game ran on the player's machine or setup before and no longer does, with nothing having changed on their 
narrative.tone.wrong-tone-for-the-setting | - | The attitude the game takes does not match the world it built — too heroic, too light or too grim for what the
game-design.pacing.spikes-out-of-nowhere | - | Pressure jumps from nothing to overwhelming with no build-up, so the player cannot read it coming. **Distinct 
publishing.data-and-privacy.collection-is-normal-and-fine | + | The player read what is collected and judged it ordinary. **The same facts as `.collects-more-than-expected`, 
game-design.pacing.nothing-happens-between-fights | - | The quiet stretches hold nothing to find or do, so the gaps between fights are dead time. **The third pacing f
game-design.progression.achievements.a-fair-set-to-finish | + | The achievement set can be completed by playing normally, without grinding or luck. **The subject had two nega
game-design.ui-ux.style-clashes-with-the-game | - | The interface looks like it belongs to a different game than the one it sits in. **Distinct from `.hard-to-nav
game-design.progression.build-and-customisation.cannot-be-switched-off | - | A system the player would rather not use cannot be turned off, so it is compulsory rather than optional. **Dis
game-design.progression.build-and-customisation.only-a-few-builds-are-viable | - | Of many possible builds only a handful survive the harder content, so a wide choice narrows to a short list. *
game-design.game-feel.movement.no-modern-moves | - | The movement set lacks verbs the genre has since taken as standard — sliding, dodging, vaulting — so moving fe
art.visual-direction.looks-machine-made | - | The player suspects the art was generated rather than authored, and says so. **Records the accusation, not whe
game-design.punishment-model.lasting-damage-makes-you-careful | + | Harm that persists between levels gives the player a reason to avoid it, and they say so. **The same mechanic 
game-design.game-feel.controls.input-tuning-fully-exposed | + | Every input-shaping setting — acceleration, aim assist, deadzone, response curve — can be changed or switched 
game-design.readability.too-dark-to-see | - | The picture is so dark the player cannot make out the space or what is in it. **Distinct from `.threats-unclea
engineering.matchmaking.no-backfill-for-leavers | - | When a player leaves, nobody can take the empty slot, so the rest of the run is played short-handed. **Distinc
community.crossplay-and-platform-mix.slowest-platform-sets-the-pace | - | The whole group waits on whichever platform loads slowest, so mixed lobbies spend a large share of the session
game-design.role-design.everyone-wants-the-same-character | - | One or two characters are strong or popular enough to be permanently taken, so late joiners never get to play 
production.early-access.good-value-while-unfinished | + | Sold openly unfinished and already worth the money.
production.early-access.grew-into-its-promise | + | The early access promise was kept: the finished game is what was described.
production.early-access.unknown | ~ | Early access raised, no mode given.
marketing.reputation.studio-earned-my-trust | + | The judgement extends past this game to the studio: the player says they will buy what these people make next.
game-design.difficulty-tuning.harder-is-not-worth-it | - | The extra reward for a higher difficulty does not cover the extra cost, so the sensible play is to stay low. *
game-design.role-design.a-role-is-missing | - | A role the player expected the roster to have does not exist. **Same shape as `modes.expected-mode-missing`, o
game-design.co-op-design.loot-is-shared | + | Pickups count for everyone, so nobody competes with their own team for resources. **Inverse of `.teammates-can
engineering.matchmaking.easy-to-drop-in-and-out | + | Players can join or leave a game in progress without breaking it. **Inverse of `.no-backfill-for-leavers` and 
game-design.progression.unlock-pace.skill-can-beat-the-grind | + | A player who has unlocked nothing can still clear the hardest content by playing well. **Inverse of `.gated-be
game-design.ui-ux.options-cover-what-you-need | + | The settings menus expose the display, audio and control options players actually want. **Inverse of `.setting
marketing.reputation.beats-its-rivals | + | The reviewer names a competitor and says **this** game does it better. **Inverse of `.beaten-by-a-competitor`.
game-design.progression.unlock-pace.gated-behind-real-world-time | - | Progress is limited by a clock rather than by play — a weekly reset, a daily cap — so playing more does not he
engineering.servers.peer-to-peer-not-dedicated | - | Games run on a player's connection rather than a dedicated server, so quality depends on whoever is hosting. *
marketing.promise-vs-reality.delivered-what-was-promised | + | The studio published a plan and kept to it. **The subject's first positive** — its two negatives stood alone f
game-design.role-design.any-team-mix-works | + | The group can bring whatever roles they like, including four of the same, and still succeed. **Inverse of `.fo
game-design.expressive-play.useless-actions-players-love | + | Actions with no mechanical effect are named as a highlight of the game.
game-design.expressive-play.unknown | ~ | Non-functional actions raised, no verdict on them.
production.early-access.does-not-feel-unfinished | + | The player says the polish is beyond what the early access label implies. **Distinct from `.good-value-while-u
live-ops.patch-quality.made-it-better | + | A change improved something that already worked. **The missing inverse of `.made-it-worse`**; distinct from `.
marketing.reputation.praise-is-undeserved | - | The reviewer argues the game's good reputation is better than the game. **The missing inverse of `.judged-unfa
marketing.reputation.derivative-of-an-older-game | - | The reviewer says the design is lifted from an earlier game, and names it. **The design half of `art.visual-di
game-design.enemy-design.killing-them-earns-nothing | - | Fighting produces no drop, currency or progress, so combat pays nothing back.
art.visual-direction.look-undersells-the-game | - | The art puts buyers off a game they end up liking. **Distinct from `.forgettable-look`**, where nothing stays 
game-design.world-interaction.cannot-leave-a-mark | - | Nothing the player builds or changes stays; the world resets and there is no place that is theirs.
game-design.game-feel.camera.no-choice-of-view | - | The player cannot switch between first and third person and wants to.
game-design.co-op-design.group-is-too-small | - | The maximum player count is below the size of the group that wants to play, so somebody is left out. **Distinc
narrative.characters-writing.cast-is-too-narrow | - | The player asks for a roster that includes people it currently leaves out. **The request that `.cast-politics-
publishing.dlc-and-editions.post-launch-content-is-free | + | New content after release costs nothing, and the player names it as a reason to trust the studio.
accessibility.hearing.sound-only-information | - | Something the player must act on is carried by sound alone, with nothing on screen to replace it. **The divisi
game-design.progression.unlock-pace.content-expires-if-you-miss-it | - | Content is open for a limited window and gone afterwards, so not playing costs the player something. **Distinc
community.culture.the-fanbase-puts-me-off | - | The reviewer's objection is to the people who like the game rather than to the game. **The negative half of `.
engineering.matchmaking.server-browser-tells-you-what-you-need | + | The list of games shows enough to choose one on purpose — what it is, how hard, how far away, how far in. **In
community.developer-communication.open-about-what-it-is-doing | + | The studio explains its plans and its reasoning, so players can see where the game is going. **Distinct from `
community.social-features.works-without-outside-tools | + | The game's own voice, text and markers are enough, so a group does not need Discord or a call to play it prope
narrative.story.no-story-at-all | ~ | The game tells no story, and the reviewer records that. **Deliberately neutral** — the same fact is a relief t
audio.voice-performance.everyone-sounds-the-same | - | The cast shares one voice or one delivery, so no character sounds like an individual. **Distinct from `.gratin
narrative.world-and-setting.politics-put-me-off | - | The player objects to what the game's world takes for granted rather than to how it is written. **Records the 
marketing.reputation.praise-is-earned | + | The reviewer argues the game's good reputation is accurate. **Completes the set**: `.judged-unfairly` and `.re
marketing.expectation-management.let-me-try-before-buying | + | A demo, free weekend or trial let the player judge for themselves, and that decided the purchase. **The subjec
game-design.progression.unlock-pace.nothing-left-to-chase | - | Everything worth unlocking is unlocked and the game sets no further goal, so play continues without a reason t
engineering.stability.lost-progress-can-be-recovered | + | Progress the game lost can be got back, by a restore tool or by support. **The answer to `.progress-not-saved`
accessibility.motor.a-job-that-does-not-need-aim | + | The game gives a player who cannot aim or react quickly a real job, so they can play alongside people who can.
game-design.new-player-experience.newcomers-keep-up-with-veterans | + | Nothing a veteran has memorised lets them run ahead, so a first-timer plays the level rather than chasing some
engineering.matchmaking.harder-settings-filter-the-players | + | Choosing a harder setting puts the player with people who are better at the game, so the difficulty acts as it
community.social-features.the-host-can-remove-you-at-will | - | Whoever hosts can throw a player out for any reason, with no appeal. **The cost side of `.can-remove-bad-playe
community.developer-communication.support-request-went-unanswered | - | The player asked for help with a specific problem and the thread went dead, leaving them with it. **Distinct f
art.atmosphere.never-breaks-the-world | + | The game keeps the player inside its fiction — no cutscene, no menu pulled out of the world, no cut away betwe
game-design.session-flexibility.can-pause-anytime | + | The player can stop mid-session and come back. **Inverse of `.cannot-pause`**, which stood alone.
game-design.progression.cosmetic-rewards.nothing-to-show-for-it | - | There is no way to display what the player has done to anyone else — no title, badge or mark that others can s
art.character-design.cast-is-off-putting | - | The player finds the characters unpleasant to look at, and says so. **Distinct from `.generic-cast`**, where t
community.developer-communication.gets-there-before-players-ask | + | The studio adds what players wanted before they asked for it, so the wish list stays short. **The inverse of `
game-design.difficulty-tuning.all-content-at-any-difficulty | + | Nothing is locked to a harder setting, so a player who wants an easy game still sees everything the game has. 
game-design.co-op-design.scales-to-the-number-of-players | + | The game adjusts to however many people are in the session, so a short-handed group is not punished for it. **
game-design.session-flexibility.you-choose-when-to-stop | + | The player decides when a run ends rather than the design deciding for them. **Distinct from `.good-in-short-s
live-ops.patch-quality.the-game-keeps-changing-under-you | - | Changes arrive often enough that what the player learned, built or liked stops being true, so nothing settles.
review.reviewer-wanted-a-neutral-option | ~ | The reviewer says the thumb misrepresents them and they would have chosen neutral if the store offered it. **D
game-design.session-flexibility.cannot-save-and-come-back | - | A run has to be finished in one sitting; there is no way to put it down and return to it. **Distinct from `.ca
game-design.pacing.a-game-you-can-unwind-to | + | Play is calm enough that the player uses the game to relax rather than to be tested, and says so. **Distinct f
marketing.reputation.unlike-anything-else | + | The reviewer says nothing else plays like it. **The inverse of `.derivative-of-an-older-game`**, and the posit
publishing.monetisation-practice.money-does-not-touch-the-grind | + | Paid items sit outside the earnable ones, so the studio has no reason to slow progression down in order to sel
live-ops.patch-quality.polished-the-character-out-of-it | - | Successive fixes and refinements removed the rough edges the player liked, leaving something smoother and less
game-design.co-op-design.uneven-playtime-is-fine | + | Friends who play different amounts can still play together; nobody is left out of step because the others play
engineering.performance.quick-to-get-in | + | Loading takes little of the session. **Inverse of `.long-load-times`**, which stood alone.
production.content-variety.the-generator-sometimes-breaks-the-run | - | Procedural generation occasionally produces a map that cannot be finished — a required item out of reach, a ne
game-design.ui-ux.quality-of-life-is-looked-after | + | Small conveniences the player never asked for are present, and they notice. **Inverse of `.missing-quality-of-
game-design.expressive-play.not-enough-to-mess-about-with | - | The player wants more of the non-functional actions the game offers — more emotes, more gestures, more to do i
marketing.reputation.studio-politics-put-me-off | - | The player objects to the studio's public positions rather than to the game. **Records the objection, not whet
narrative.world-and-setting.gets-its-subject-right | + | Someone with real knowledge of what the game depicts says it is accurate. **Distinct from `.world-worth-explor
audio.voice-performance.voices-do-not-fit-the-characters | - | The delivery or accent does not match who the characters are meant to be. **Distinct from `.grating-or-repetit
community.population.the-good-players-left | - | The skilled or committed part of the player base has gone and what remains is not who the player wants to play
game-design.co-op-design.little-room-to-ruin-it-for-others | + | The design gives a hostile player almost nothing to work with, so griefing is difficult. **The answer to `frie
review.written-for-a-reward | ~ | The reviewer says they wrote the review to earn something — an in-game item, a badge, a giveaway entry — rathe
game-design.game-feel.movement.rewards-mastery | + | The movement has depth the player keeps finding, so getting better at moving is its own reward. **Distinct fro
game-design.new-player-experience.non-gamers-can-play-it | + | Someone who does not play games picked it up and enjoyed it. **Distinct from `.easy-to-start`**, which is abou
game-design.progression.unlock-pace.you-can-put-it-down-and-come-back | + | Time away costs nothing; there is no moving target to fall behind. **The answer to `.content-expires-if-you-mi
game-design.replayability.worth-playing-without-a-reward | + | The play itself is the reason to keep going; the unlocks are not doing the work. **Distinct from `.keeps-pulli
game-design.progression.unlock-pace.missed-content-comes-back | + | Content from a past event or season can still be obtained afterwards, so missing it costs nothing permanent. *
accessibility.vision.causes-motion-sickness | - | Playing makes the player physically unwell — nausea, dizziness, headache. **The division's second mode that is
game-design.game-feel.camera.narrow-view-is-a-handicap | - | Seeing less of the world — from a narrow field of view, an aspect ratio, or a setting that cannot be changed —
game-design.progression.unlock-pace.currency-stops-being-worth-anything | - | Once everything has been bought, the money and materials the game keeps handing out have nothing to spend them
game-design.difficulty-tuning.harder-pays-better | + | The higher setting pays out more than it costs, so raising the difficulty is a real choice worth making. **Inv
game-design.progression.unlock-pace.you-cannot-choose-what-you-unlock | - | The game picks what opens up next, so the player cannot work towards the one thing they actually want. **Disti
community.player-conduct.punished-for-playing-my-own-way | - | Other players remove or attack someone for playing in a way they disapprove of, with the run going fine. **Dis
community.social-features.you-choose-who-can-join | + | The player sets who the session is open to — friends, strangers, or nobody. **Inverse of `.no-private-games`.*
marketing.positioning.sold-as-a-different-kind-of-game | - | The store framing — genre labels, tags, trailer — describes a different experience from the one the player got
production.craftsmanship.made-with-care | + | The player can see the effort in the detail and says so — polish, thoughtfulness, craft.
production.craftsmanship.needs-more-work | - | The player says the game is not finished enough to recommend yet, without naming a specific defect.
production.craftsmanship.unknown | ~ | Craft raised, no verdict on it.
game-design.world-interaction.chores-instead-of-play | - | A required task is a wait rather than something to play — hold a button, stand still, watch a bar fill.
game-design.level-design.too-linear | - | The route through is fixed where the player expected to choose their own way. **Distinct from `.badly-laid-out
game-design.enemy-design.all-fought-the-same-way | - | The roster is large and every enemy has the same answer, so knowing more of them buys the player nothing. **Di
game-design.co-op-design.teammates-cannot-share-progress | - | Objectives or rewards are set per player, so a group does not advance together and playing side by side gains 
game-design.progression.unlock-pace.the-reward-only-buys-cosmetics | - | What the core activity pays out buys nothing that changes play, so the activity has no point beyond itself. **
engineering.netcode.a-disconnect-loses-the-run | - | Dropping out of a session costs the player the work they had done in it, with nothing kept.
accessibility.vision.too-bright-to-look-at | - | The brightness, contrast or colour choice physically hurts to look at. **Distinct from `.causes-motion-sicknes
production.age-suitability.fine-for-younger-players | + | The reviewer says a younger player can play it, whatever small caveats they attach.
production.age-suitability.not-for-younger-players | - | The reviewer names content — language, gore, sexual material — as a reason to keep a younger player away.
production.age-suitability.unknown | ~ | Suitability raised, no verdict on it.
publishing.monetisation-practice.players-buy-in-to-support-the-studio | + | The player buys optional paid items as a donation to the studio rather than for what the items give them. **Di
game-design.progression.unlock-pace.time-gating-does-not-get-in-the-way | + | Progress is limited by a clock and the limit sits below what the player was going to play anyway, so it sets a
marketing.discovery.found-it-through-someone-playing-it | ~ | The player names watching someone else play — a stream, a video, a friend's screen — as the reason they bought
marketing.discovery.unknown | ~ | How the player found it is raised, no channel named.
marketing.reputation.nominated-for-an-award-by-players | + | The reviewer says they voted for, nominated, or are campaigning for the game in a public award, and uses the r
game-design.modes.no-pvp-is-a-feature | + | The reviewer names the **absence** of player-against-player modes as a reason the game is pleasant to be in. *
game-design.new-player-experience.teaches-you-as-you-go | + | The game explains its own systems as they arrive, so the player learns by playing rather than by looking thing
game-design.progression.unlock-pace.respects-your-time | + | The progression asks no more hours than the player wanted to give; nothing is stretched to fill time. **The mi
game-design.game-feel.reward-moment.gives-a-dopamine-hit | + | The player names a physical reward from the moment the game pays out — a hit, a high, a rush, a compulsion the
game-design.game-feel.reward-moment.gives-a-nostalgia-hit | + | The payout lands as a **return** rather than a rush — the player names an earlier time in their own playing li
game-design.game-feel.reward-moment.unknown | ~ | The payout moment is raised, no verdict on how it lands.
engineering.platform-support.cross-save-works | + | Progress follows the player between platforms, so buying or playing it somewhere else costs them nothing. **Th
community.developer-communication.pays-players-for-their-work | + | The studio pays players for work it uses — community art, maps, mods, a contest with real money behind it. **D
game-design.progression.build-and-customisation.cannot-change-how-you-look | - | The player names a **visual** detail of their character the game gives them no way to change — face, colour, b
game-design.progression.build-and-customisation.cannot-change-how-you-sound | - | The player names their character's **voice** as something the game gives them no way to change.
art.atmosphere.a-tool-undoes-the-mood | - | The game hands the player something that removes the atmosphere the game is built on — a light in a dark game,
game-design.co-op-design.friendly-fire-makes-stories | + | Players can hurt each other, and they name that as a source of fun rather than a problem. **Distinct from `.li
game-design.power-balance.the-challenge-keeps-up | + | A fully upgraded player still finds the hard settings hard, so power and difficulty stay in step. **The missin
marketing.discovery.someone-gave-it-to-me | ~ | The player names a gift as how the game reached them. **Deliberately neutral**, like `.found-it-through-someon
art.visual-direction.off-putting-look | - | The player finds the look actively unpleasant, not merely dull. **Distinct from `.forgettable-look`**, where n
engineering.servers.player-hosted-so-it-outlives-the-studio | + | Sessions run on players' own machines rather than the studio's, so the player expects the game to keep working
community.user-created-content.mods-made-it-worse | - | The player tried community content and found it worse than the base game, and warns others off it. **The missi
game-design.difficulty-tuning.one-part-is-far-harder-than-the-rest | - | A single encounter, boss or section is harder than everything around it, so the run's difficulty is uneven **w
game-design.co-op-design.dragged-into-content-above-your-level | - | Playing with a more advanced group puts the player into content they are not ready for, because the group pick
engineering.stability.the-glitches-are-half-the-fun | + | The player names the game's defects as something they enjoy rather than tolerate. **Of the subject's eight exi
community.crossplay-and-platform-mix.no-crossplay-at-all | - | Players on different platforms cannot play together, so the pool is split by what each person happens to own. 
game-design.game-feel.camera.moves-more-than-you-asked-for | - | The camera adds motion the player did not ask for — shake, bob, recoil throw — and the settings do not remove 
marketing.discovery.someone-recommended-it | ~ | A person the player knows talked them into it. **Distinct from `.someone-gave-it-to-me`** (a gift, no persuadi
game-design.progression.build-and-customisation.you-can-change-your-mind | + | Build choices can be undone or reworked freely, so experimenting costs the player nothing. **The missing inver
community.culture.unwritten-rules-players-keep | + | Players follow conventions the game never taught and does not enforce — an etiquette that makes sessions work.
community.player-conduct.strangers-became-friends | + | The player names the game as where they met people they now count as friends. **Distinct from `.welcoming-comm
game-design.co-op-design.the-run-falling-apart-is-the-fun | + | The player names the run going wrong — a swarm, a collapse, a panicked extraction — as the thing they came for
game-design.progression.complexity.no-need-to-leave-the-game-to-learn-it | + | The game ships its own reference — a guide, a codex, a mission briefing the player can read — so learning it w
accessibility.phobia.i-could-not-play-it | - | The content stopped the player. They name the trigger and say they could not continue.
accessibility.phobia.a-setting-let-me-play-it | + | A toggle, slider or mode removed the barrier and they got in.
accessibility.phobia.no-way-to-remove-it | - | They wanted the option and the game does not have one. **Distinct from `.i-could-not-play-it`**, which is the 
accessibility.phobia.warned-me-first | + | Store page, launch screen or scene warning let them choose before they met the content.
accessibility.phobia.no-warning-at-all | - | They met the content mid-session with no chance to opt out. **Separate from the settings pair because the reme
accessibility.phobia.unknown | ~ | Raised, no mode given.
accessibility.mental-health-portrayal.portrayed-with-care | + | A player who has the condition says the game got it right.
accessibility.mental-health-portrayal.portrayed-as-a-stereotype | - | The depiction is one-dimensional, stigmatising, or ties the condition to villainy.
accessibility.mental-health-portrayal.unknown | ~ | The portrayal is raised, no verdict on it.
community.player-conduct.players-want-different-things-from-a-run | ~ | Teammates came for different things — clearing the objective, stripping the map for rewards, or messing about 
marketing.discovery.came-through-a-subscription | ~ | The player names a subscription service as how the game reached them. **Deliberately neutral**, like the rest 
marketing.reputation.best-in-its-category | + | The reviewer puts the game at the top of a genre or category — *"the best co-op game"*, *"the greatest horde s
game-design.game-feel.movement.unreliable | - | A move the game **has** does not reliably do what the player asked — a ledge that will not grab, a vault that 
game-design.new-player-experience.the-game-never-arrives | - | The player waits for the game to begin properly and it never does. **Distinct from `.slow-start`**, which name
publishing.availability.not-sold-in-my-country | - | The game cannot be bought from where the player lives — delisted, region-locked, or gated behind an account ty
game-design.difficulty-tuning.content-locked-to-harder-settings | - | Materials, rewards or upgrades can only be obtained on a difficulty above the one the player wants to play, so
review.thumb-is-a-protest-vote | - | The reviewer says outright that the thumb records a protest about a business or platform decision rather than 
live-ops.a-running-story-players-follow | ~ | ~ | The game runs a continuing, authored campaign — a war, a season-long event, a world that changes for every
community.social-features.cannot-add-friends | - | The friend or invite system does not work, so the player cannot get the specific people they want into a sessi
community.population.the-numbers-are-falling | - | The player says the population is dropping, **without saying it has dropped too low to play**. **Distinct from
marketing.reputation.explained-by-naming-other-games | ~ | The reviewer describes what the game **is** by naming other games — *"X meets Y with a sprinkle of Z"* — and p
community.developer-communication.players-know-the-staff-by-name | ~ | The reviewer names an **individual person** at the studio — a community manager, a designer, the person runnin
review.i-never-write-reviews-and-wrote-this-one | ~ | The reviewer says outright that writing a review is out of character for them, and offers **that** as the argu
review.the-controversy-did-not-change-my-verdict | ~ | The reviewer names an off-game dispute — a business decision, a platform row, a public argument — and says out
marketing.reputation.the-best-one-since-a-named-game | + | The reviewer names a specific older game as the last one this good — *"the best co-op shooter since Left 4 Dea
community.culture.the-fiction-organised-something-real | ~ | Players describe something that happened **outside the game** — a campaign, a protest, an organised action — u
community.developer-communication.written-to-the-studio-not-to-the-buyer | ~ | The **substance** of the review is a message to the studio — a design proposal, an open letter, a request — ra
live-ops.the-shared-war-counts-my-play | ~ | ~ | The game converts individual missions into a **visible total everyone shares** — a liberation percentage, 
game-design.co-op-design.friendly-fire-is-just-a-cost | - | Players can hurt each other, it happens to this player constantly, and **they do not find it funny.** **The mi
game-design.game-feel.combat.weapons-behave-as-you-would-expect | + | The player judges a weapon against **how the real object works** and says the game got it right — a chambered 
storefront.the-refund-clock-counts-time-i-was-not-playing | - | The store's refund window is measured in recorded playtime, and the player says that clock ran while they were
marketing.reputation.won-over-someone-who-avoids-the-genre | + | The reviewer says they normally **dislike or avoid games of this kind** — shooters, multiplayer, live service 
live-ops.patch-quality.the-notes-do-not-match-the-patch | - | What the patch notes say and what the build does are different, **in either direction**: a note describing a c
community.developer-communication.answered-in-character | ~ | The studio responds to a **real-world** event — a controversy, a protest, a review-bombing — using the game's 
game-design.game-feel.reward-moment.the-payout-lands-well | + | The moment the game pays out is satisfying, and the reviewer names **no mechanism** for why. **Distinct from `
game-design.game-feel.reward-moment.the-payout-lands-flat | - | The game builds to a payout — an extraction, a results screen, a level ending — and the moment produces nothin
review.the-controversy-drove-me-away | - | The reviewer names an off-game dispute — a business decision, a platform row, a public argument between studio
publishing.monetisation-practice.what-was-free-is-now-paid | - | Something the player already had for nothing is moved behind a payment. **Distinct from `.pay-affects-play`**,
game-design.session-flexibility.a-clock-decides-when-you-leave | - | A timer inside the run ends it, so the player leaves on the design's schedule and not their own. **The inverse
game-design.co-op-design.competing-for-pickups-is-the-fun | + | Players compete with their own team for shared pickups and name that competition as the point. **The missing p
production.early-access.not-worth-it-yet | - | The reviewer says the game is not ready to buy and to come back later.
publishing.dlc-and-editions.should-have-been-an-add-on | - | The player says the content does not justify a separate purchase and belonged in the game they already own.
game-design.co-op-design.working-together-buys-you-nothing | - | Cooperating is allowed and pays too little to be worth doing, so players work side by side rather than togethe
game-design.co-op-design.the-design-sets-players-against-each-other | - | The rules manufacture conflict between teammates who are trying to cooperate. **The missing negative of `.litt
game-design.role-design.each-role-plays-its-own-way | + | Each character or class plays in its own way, and the reviewer says so. **The missing positive of `.roles-feel
game-design.co-op-design.friendly-fire-enables-griefing | - | A player uses the ability to hurt teammates on purpose, to spoil their run. **Distinct from `.friendly-fire-is
game-design.co-op-design.friendly-fire-unknown | ~ | The reviewer states that teammates can kill them and supplies no verdict.
community.developer-communication.studio-stood-with-us-against-the-owner | + | The reviewer separates the studio from the company that owns or publishes it, and says the studio took the pla
community.developer-communication.the-owner-says-the-game-is-failing | - | The reviewer reports that the publisher or owner has said the game is not working commercially, and offers tha
game-design.pacing.every-run-starts-with-dead-time | - | A fixed stretch of nothing before every run begins — an entrance walk, a cutscene, a lobby ritual — that the p
game-design.game-feel.controls.abilities-are-awkward-to-trigger | - | Using a character's own ability is fiddly: a key combination that is hard to hit under pressure, a wind-up bef
marketing.discovery.came-free-with-hardware | ~ | The game reached the player bundled with a graphics card, a console or another piece of hardware rather than b
production.launch-state.rushed-out-by-the-owner | - | The reviewer separates the studio from the company that owns or publishes it, and blames the **owner** for shi
game-design.level-design.places-are-empty-until-their-mission-starts | - | A location holds nothing until the quest set there is active, so exploring ahead of the mission finds an empty
game-design.level-design.an-area-closes-behind-you-for-good | - | Somewhere the player has been becomes permanently unreachable once the story moves on. **Distinct from `progre
publishing.price.not-worth-it-at-any-price | - | The reviewer says the game is not worth having **even at a price of zero** — either because they paid nothing 
engineering.performance.long-load-times | - | Waiting to get in takes a large share of the session.
engineering.performance.demanding-hardware | - | Needs more machine than the player thinks it should.
audio.mixing.clear-and-readable | + | You can hear what matters through everything else.
audio.mixing.drowns-out-what-matters | - | Noise buries the sounds the player needs to hear.
audio.mixing.unknown | ~ | Mixing raised, no mode given.
publishing.preorder.regretted-preordering | - | Bought before release and wishes they had waited.
publishing.preorder.preorder-was-worth-it | + | Bought before release and was glad of it.
publishing.preorder.unknown | ~ | Pre-ordering raised, no direction given.
localization.voice-localization.dubbed-well | + | Speech is localised and it works.
localization.voice-localization.dub-is-poor | - | Localised speech is badly acted or badly matched.
localization.voice-localization.no-dub-available | - | Only the original language is spoken.
localization.voice-localization.unknown | ~ | Dubbing raised, no mode given.
narrative.world-and-setting.world-worth-exploring | + | The fiction rewards paying attention to it.
narrative.world-and-setting.setting-feels-thin | - | The world is a backdrop with nothing behind it.
narrative.world-and-setting.unknown | ~ | The world raised, no mode given.
game-design.session-flexibility.cannot-pause | - | No way to stop the game mid-session, even playing alone.
community.social-features.good-tools-for-coordinating | + | Voice, pings or markers make working together easy.
community.social-features.no-way-to-remove-bad-players | - | No kick or report, so a disruptive player cannot be dealt with.
community.social-features.cannot-communicate | - | No usable way to talk to the people you are playing with.
community.social-features.unknown | ~ | Social features raised, no mode given.
engineering.performance.cannot-lower-settings | - | No way to turn the graphics down to make it run.
game-design.new-player-experience.poorly-explained | - | The game never teaches its own systems, so the player never engages with them.
game-design.progression.unlock-pace.progress-does-not-carry-over | - | Work put into a run is wiped at a boundary the player did not expect.
engineering.platform-support.runs-well-on-my-platform | + | Works properly on the machine or handheld the player uses.
engineering.platform-support.broken-on-my-platform | - | Specific to one OS, handheld or device, and it does not work.
engineering.platform-support.no-cross-save | - | Progress does not follow the player between platforms, so they start again.
engineering.platform-support.better-elsewhere | - | The same game runs noticeably better on another platform.
engineering.platform-support.unknown | ~ | Platform raised, no mode given.
publishing.monetisation-practice.no-microtransactions-at-all | + | Nothing is sold inside the game. Stronger than `.cosmetic-only`, which still has a shop.
game-design.fairness.losses-feel-earned | + | When you die you can see what you did wrong.
game-design.fairness.losses-feel-arbitrary | - | Deaths come from something the player had no way to prevent.
game-design.fairness.one-section-is-unfair | - | A specific level or act is singled out as unreasonable.
game-design.fairness.unknown | ~ | Fairness raised, no mode given.
audio.sound-effects.sounds-out-of-place | - | A sound clashes with the moment it plays in. Distinct from `.weak-or-thin`, which is about force.
engineering.matchmaking.no-server-browser | - | No way to see or choose a game; you are dropped into a random one.
game-design.difficulty-tuning.too-hard | - | Harder than the player wanted, stated as a complaint rather than praise. **The inverse of `.too-easy`; `.satis
game-design.ui-ux.cluttered-screen | - | Too much on screen at once; the display gets in the way of seeing the game.
