# Single-sighting backlog, built from tag-tree-open-gaps.md on 2026-09-24 (Rule C). Size bound: one row per parked note, ~500 rows.
# status: open | built rNNN <mode> | existing rNNN <mode> | skip: <why> | check: <why>
status	gaps_line	ref	kind	game	parked_on	review_ids	dir	proposed	quote
built r403 engineering.performance.needs-a-lot-of-memory	8748	round 360	one-sighting	risk-of-rain-2	engineering.performance.unknown	112262688	-	the game eats RAM (no memory mode exists)	the game eats RAM for breakfast - 12 GB minimum, 16 for long runs
existing r403 re-homed to engineering.performance.quick-to-get-in	8775	round 362	one-sighting	risk-of-rain-2	engineering.performance.unknown	116653275	+	loads fast (+ twin of long-load-times)	the loading screens are - wait, what loading screens?
existing r403 re-homed to engineering.performance.demanding-hardware	8870	round 368	one-sighting	risk-of-rain-2	engineering.performance.unknown	148758757	-	my computer says otherwise - no spec, no symptom	awesome, but my computer says otherwise
built r403 engineering.platform-support.asks-for-another-platform	6191	gap 272	open-gap	aliens-fireteam-elite	engineering.platform-support.unknown	185663355	?	the reviewer asks for the game in virtual reality	Wish to play this game with VR mode like I did with Alien Isolation.
existing r403 fits engineering.platform-support.broken-on-my-platform (one device)	7563	round 294	one-sighting	space-marine-2	engineering.platform-support.broken-on-my-platform	175495463	-	a specific controller is not recognised (mode under platform-support)	
built r403 engineering.platform-support.asks-for-another-platform	8792	round 363	one-sighting	risk-of-rain-2	engineering.platform-support.unknown	124746293	-	asks for a Mac version	
existing r403 re-homed to engineering.platform-support.built-for-another-platform	8989	round 374	one-sighting	risk-of-rain-2	engineering.platform-support.unknown	182197235	-	the unified PC/console codebase felt as a downgrade (save corrupted)	ever since they made the PC version the same as console
built r403 engineering.servers.the-studio-limits-who-can-host	3061	gap 111	one-sighting	the-anacrusis	engineering.servers.peer-to-peer-not-dedicated	154988428	-	studio restricts who can host, won't explain criteria, so no matches	the devs have heavily restricted the requirements to host a game
built r403 engineering.servers.the-leaders-region-is-forced-on-everyone	3978	gap 150	one-sighting	terminull-brigade	engineering.servers.unknown	202932618	-	party leader's server region is forced on everyone	you play on whatever server the party leader is on.
existing r403 re-homed to engineering.matchmaking.no-ping-shown-before-you-join	5508	gap 240	open-gap	aliens-fireteam-elite	engineering.servers.peer-to-peer-not-dedicated	129788115	-	no way to see a host's connection before committing	Peer to peer with no ping display, so bad hosts can lag, drop, and burn a run
built r403 engineering.servers.go-down-now-and-then	6419	gap 286	open-gap	aliens-fireteam-elite	engineering.servers.unknown	202210130	-	the servers go down intermittently and come back	Game is great when the servers arent down.
built r404 engineering.servers.got-worse-over-time	6539	gap 286	open-gap	aliens-fireteam-elite	engineering.servers.unknown	216577834	-	second sighting of gap 286, held open: servers got worse over time	Their servers are trash now unfortunately. Good luck playing with friends.
built r404 engineering.servers.got-worse-over-time	6619	gap 286	open-gap	aliens-fireteam-elite	engineering.servers.frequent-disconnects	217256403	-	third sighting of gap 286 (intermittent servers), not closed; narrow to 'servers got worse over time'	started to have connection issues as of late. Sometimes it works, sometimes it doesn't.
built r404 engineering.servers.my-router-blocks-play	9245	round 389	one-sighting	warframe	engineering.servers.peer-to-peer-not-dedicated	12018395	-	I cannot host or join because of my network (router cannot forward ports)	
existing r404 fits engineering.stability.progress-not-saved (the unlocks are lost; the migration is the cause)	2561	gap 94	one-sighting	the-anacrusis	engineering.stability.progress-not-saved	127988146	-	studio deleted players' earned unlocks in a back-end migration	Most of the unlocks from these weeklies were removed in their back-end change.
built r404 review.cannot-tell-the-game-from-their-own-machine (bullet split; crashes stay)	6874	gap 313	open-gap	immortal-unchained	engineering.stability.crashes-repeatedly	44670314	?	reviewer cannot rule out their own machine, so won't charge the game	i cannot decide which are game side and which are PC side
skip: the friendly-fire merge is open with Rico	7984	round 313	one-sighting	space-marine-2	explained-by-naming-other-games	220778360	+	no friendly fire, named as a relief	similar to helldivers just without the 'accidentaly shoot your friends' stuff.
skip: the 'first game had X' tally is open with Rico	8631	round 348	watch	risk-of-rain-2	explained-by-naming-other-games	59456532	-	the first game had X pattern (Rico-open) inverted - love for the first game was rose-tinted	rose-tinted
skip: the 'first game had X' tally is open with Rico	8324	round 327	watch	remnant-2	falls-short-of-the-studios-earlier-games	150196497	-	marketing.positioning.the-sequel-dropped-something-the-first-game-had (pattern; Rico's call) - armour and accessory upgrades gone	
skip: the 'first game had X' tally is open with Rico	8530	round 336	watch	remnant-2	falls-short-of-the-studios-earlier-games	184308304	-	the first game had X pattern: marketing.positioning.the-sequel-dropped-something-the-first-game-had (Rico-open) - "buy the first game"	buy the first game
existing r404 re-homed to production.craftsmanship.reads-as-machine-made	8597	round 344	one-sighting	remnant-2	flat-or-annoying	232251822	-	dialogue "like ChatGPT before ChatGPT"	like ChatGPT before ChatGPT
skip: the friendly-fire merge is open with Rico	8557	round 339	watch	remnant-2	friendly-fire-unknown	201175078	+	approving the absence of friendly fire (Rico-open friendly-fire merge; no mode)	
existing r404 re-homed to community.playing-with-friends.the-bots-are-better-company-than-the-strangers	2410	gap 87	one-sighting	the-anacrusis	game-design.ai-teammates.enables-solo-play	116986915	+	player prefers the bots to people; low population is why he recommends it	I like that the game has a low population because I can play with the ai-controlled teammates more often.
existing r404 fits game-design.ai-teammates.useless-in-combat	5493	gap 239	open-gap	aliens-fireteam-elite	game-design.ai-teammates.useless-in-combat	130342858	-	your own disconnect leaves the team worse off	meaning effectively YOU JUST DOOMED YOUR TEAM AS WELL.
built r404 game-design.ai-teammates.better-without-bots-at-all	6724	gap 303	open-gap	aliens-fireteam-elite	game-design.ai-teammates.unknown	228598427	-	the bots should not exist at all; offering them is the fault	It honestly would be better to just not have the AI option at all to at least wash away the illusion
skip: the friendly-fire merge is open with Rico	1044	gap 25	watch	helldivers-2	game-design.co-op-design.unknown	166414101	?	ambiguous 'unfriendly fire' - accidental or deliberate not stated	Oh did I mention unfriendly fire? Yeah it's PVE but it's all the unfriendly fire action you can handle!
built r404 game-design.co-op-design.a-bigger-team-would-absorb-a-drop	5812	gap 255	open-gap	aliens-fireteam-elite	game-design.co-op-design.group-is-too-small	152599580	-	a bigger team asked for to absorb the disconnects	the studio should just fix this by adding a fourth member so when someone is inevitably kicked, we still have a full team.
built r404 game-design.co-op-design.teammates-take-your-kills	7974	round 312	one-sighting	space-marine-2	game-design.co-op-design.teammates-can-take-your-things	216644931	-	teammates steal executions (which restore armour)	STOP STEALING EXECUTIONS.
built r404 community.crossplay-and-platform-mix.friends-must-match-on-every-launcher	8526	round 336	one-sighting	remnant-2	game-design.co-op-design.unknown	187410273	-	the launcher you start from decides which friends you can see	
built r404 game-design.co-op-design.you-miss-what-a-teammate-hears	8546	round 338	one-sighting	remnant-2	game-design.co-op-design.unknown	197321005	-	in co-op you miss the other player's NPC conversation for good	
built r404 game-design.co-op-design.the-loot-does-not-grow-with-the-group	8629	round 348	one-sighting	risk-of-rain-2	game-design.co-op-design.unknown	59454004	-	the loot does not grow with the group (split between players)	to invalidate this review
built r405 game-design.co-op-design.the-player-cap-can-be-lifted	8703	round 357	one-sighting	risk-of-rain-2	game-design.co-op-design.unknown	94768725	~	four in co-op, but console commands allow sixteen	
built r405 game-design.co-op-design.the-scaling-outpaces-a-full-group	8747	round 360	one-sighting	risk-of-rain-2	game-design.co-op-design.unknown	112262688	-	the difficulty scales past the group	with three or four people the enemies vastly outnumber and outscale you
built r405 community.player-conduct.weaker-teammates-resent-your-power	8923	round 371	one-sighting	risk-of-rain-2	game-design.co-op-design.unknown	166897289	-	the weak teammate is dead weight and resents the power gap	so much fun when you don't have to carry a rag that's bad at the game
existing r405 re-homed to game-design.difficulty-tuning.the-lower-settings-are-not-worth-playing	2652	gap 97	one-sighting	the-anacrusis	game-design.difficulty-tuning.well-graded	130919259	?	the game only comes alive on a harder setting; default misrepresents it	Most those reviews were playing on normal mode. Intense mode is where it's at
existing r405 fits game-design.difficulty-tuning.harder-only-changes-the-numbers	5900	gap 258	open-gap	aliens-fireteam-elite	game-design.difficulty-tuning.harder-only-changes-the-numbers	155505786	-	difficulty scaling (bullet sponges) contradicts the fiction	little aliens shouldn't be taking multiple clips to kill.
built r405 game-design.difficulty-tuning.harder-adds-new-rules	6345	gap 281	open-gap	aliens-fireteam-elite	game-design.difficulty-tuning.unknown	197325200	+	positive of harder-only-changes-the-numbers: harder difficulties add rules	there are also some fun (and punishing) mechanics that are only on the higher difficulties also.
built r405 game-design.difficulty-tuning.no-difficulty-settings	6888	gap 314	open-gap	immortal-unchained	game-design.difficulty-tuning.unknown	47911505	-	the game offers no difficulty setting at all	There is no 'difficulty' settings, its kill it or quit.
existing r405 re-homed to review.used-a-cheat-to-get-through-it	6927	gap 316	open-gap	immortal-unchained	game-design.difficulty-tuning.too-hard	49383116	-	the reviewer used a cheat (trainer) to finish it and recommends it	I almost hate to recommend a cheat to make a game fun but it does.
built r405 game-design.co-op-design.the-host-draws-the-enemies	1383	gap 37	open-gap	helldivers-2	game-design.enemy-design.always-knows-where-you-are	233555511	?	`game-design.co-op-design.hosting-costs-the-host`	Being a host quite literally puts you at a disadvantage, because the AI will path find to you
built r405 game-design.enemy-design.the-wrong-enemy-for-the-pitch	5088	gap 218	open-gap	aliens-fireteam-elite	game-design.enemy-design.unknown	107005851	-	most fighting is against the wrong enemy (robots) for the pitch	do not buy if you are looking for a game like Left 4 Dead as you have to fight robots shooting at you most of the game.
existing r405 fits game-design.enemy-design.poor-ai-behaviour	5948	gap 259	open-gap	aliens-fireteam-elite	game-design.enemy-design.poor-ai-behaviour	164857357	-	the enemies can be walked past (scenery, not threat)	I can walk past them most times with zero issue.
built r405 game-design.enemy-design.one-enemy-type-is-hated	7489	round 290	watch	space-marine-2	game-design.enemy-design.unknown	174830168	-	hated enemy named (Zoanthropes) without saying what it does wrong	
built r405 game-design.enemy-design.hitscan-enemies-never-miss	8605	round 345	build-on-third	risk-of-rain-2	game-design.enemy-design.no-counterplay	50411032	-	hitscan enemies that never miss (split from no-counterplay on a third)	his laser is on you like he has an aim bot, never missing
built r405 game-design.enemy-design.hitscan-enemies-never-miss	8605	round 345	build-on-third	risk-of-rain-2	game-design.enemy-design.no-counterplay	50152475	-	hitscan enemies that never miss (split from no-counterplay on a third)	his laser is on you like he has an aim bot, never missing
built r405 game-design.enemy-design.one-enemy-type-is-hated	8704	round 357	one-sighting	risk-of-rain-2	game-design.enemy-design.unknown	95289745	-	a hated enemy type with no reason (Brass Contraptions, Elder Lemurians)	please remove Brass Contraptions, I hate them as much as Elder Lemurians
built r405 game-design.enemy-design.tells-how-they-died	8705	round 357	one-sighting	risk-of-rain-2	game-design.enemy-design.unknown	96263901	~	death-story one-liner: one-shot by the final boss	
built r405 game-design.enemy-design.tells-how-they-died	8705	round 357	one-sighting	risk-of-rain-2	game-design.enemy-design.unknown	96262981	~	death-story one-liner: died to a Lesser Wisp	
existing r405 fits game-design.enemy-design.one-hit-kills	8720	round 358	one-sighting	risk-of-rain-2	game-design.enemy-design.one-hit-kills	98585564	-	one-shot protection existing is itself a design problem (folded in)	
built r405 game-design.enemy-design.one-enemy-type-is-hated	8736	round 359	watch	risk-of-rain-2	game-design.enemy-design.unknown	105432534	-	a hated elite type with no reason given (Malachite)	
existing r405 re-homed to game-design.enemy-design.one-hit-kills	8736	round 359	watch	risk-of-rain-2	game-design.enemy-design.unknown	102411438	-	hated enemy: elite golem one-shot, no reason given	
built r406 game-design.enemy-design.gimmick-enemies-ruin-a-run	8790	round 363	one-sighting	risk-of-rain-2	game-design.enemy-design.unknown	124296216	-	one enemy type cancels your build	a few annoying enemies can ruin a run or build, and they keep adding new annoying, gimmicky enemies
existing r406 re-homed to game-design.enemy-design.one-enemy-type-is-hated (built r405)	8888	round 369	watch	risk-of-rain-2	game-design.enemy-design.unknown	152614012	-	a hated enemy named with no why (RoR2 hated-enemy tally) - blind pests, wisps, void bugs (nearest why: small fliers that aimed shots miss)	
existing r406 re-homed to game-design.enemy-design.one-enemy-type-is-hated (built r405)	8888	round 369	watch	risk-of-rain-2	game-design.enemy-design.unknown	154251555	-	a hated enemy named with no why (RoR2 hated-enemy tally) - flying pests	
existing r406 re-homed to game-design.enemy-design.one-enemy-type-is-hated (built r405)	8888	round 369	watch	risk-of-rain-2	game-design.enemy-design.unknown	156066568	-	a hated enemy named with no why (RoR2 hated-enemy tally) - blind pests	
existing r406 re-homed to game-design.enemy-design.one-enemy-type-is-hated (built r405)	8888	round 369	watch	risk-of-rain-2	game-design.enemy-design.unknown	56078147	-	a hated enemy named with no why (RoR2 hated-enemy tally) - wisps and jellies	
existing r406 re-homed to game-design.enemy-design.one-enemy-type-is-hated (built r405)	8929	round 371	watch	risk-of-rain-2	game-design.enemy-design.unknown	165436711	-	a hated enemy named with no why (RoR2 hated-enemy tally) - blind pest	blind pest? more like STUPID WORST
existing r406 re-homed to game-design.enemy-design.one-enemy-type-is-hated (built r405)	8971	round 373	watch	risk-of-rain-2	game-design.enemy-design.unknown	178129320	-	a hated enemy named with no why (RoR2 hated-enemy tally) - the final boss	never in my entire life have I seen a final boss this bad
existing r406 re-homed to game-design.enemy-design.one-enemy-type-is-hated (built r405)	8998	round 374	watch	risk-of-rain-2	game-design.enemy-design.unknown	187415210	-	a hated enemy named with no why (RoR2 hated-enemy tally) - blind pests	the thing that stops you dead is not the final boss but the blind pests; remove them
existing r406 re-homed to game-design.enemy-design.one-enemy-type-is-hated (built r405)	9017	round 375	watch	risk-of-rain-2	game-design.enemy-design.unknown	189635702	-	a hated enemy named with no why (RoR2 hated-enemy tally) - the giant dino	
existing r406 re-homed to game-design.enemy-design.one-enemy-type-is-hated (built r405)	9017	round 375	watch	risk-of-rain-2	game-design.enemy-design.unknown	192251934	-	a hated enemy named with no why (RoR2 hated-enemy tally) - Elder Lemurians	
built r406 game-design.enemy-design.attacks-are-poorly-telegraphed	9155	round 382	one-sighting	risk-of-rain-2	game-design.enemy-design.unknown	233552972	-	an attack you cannot see coming (poorly telegraphed)	poorly telegraphed
existing r406 re-homed to game-design.enemy-design.one-enemy-type-is-hated (built r405)	9157	round 382	watch	risk-of-rain-2	game-design.enemy-design.unknown	235165802	-	a hated enemy named with no why (wisp; tally closes at 14)	
built r406 game-design.game-feel.camera.third-person-lets-you-see-around-corners	7086	gap 326	one-sighting	arc-raiders	game-design.game-feel.camera.unknown	208435290	-	the camera sees what the body could not (third-person corner peeking favours defender)	peeking 180 degrees around a wall you are on the otherside of completely covered from enemy visibility
built r406 game-design.game-feel.camera.third-person-lets-you-see-around-corners	7097	gap 326	watch	arc-raiders	game-design.game-feel.camera.unknown	208759129	-	soft second sighting: third person makes it easier to hide	Third person is kinda weird for any PvP game, but dose make it easier to hide.
built r406 game-design.game-feel.combat.attacks-go-where-you-move-not-where-you-face	7509	gap 350	one-sighting	space-marine-2	game-design.game-feel.combat.unknown	174828489	-	you swing where you are moving, not where you are facing	you attack in the direction you are moving rather than facing.
built r406 game-design.game-feel.combat.too-much-slow-motion	7920	round 310	one-sighting	space-marine-2	game-design.game-feel.combat.unknown	206151338	-	slow-motion applied on every interaction	it does not slow time, it just slows your perception.
built r406 game-design.game-feel.combat.the-defence-crowds-out-the-shooting	7944	round 311	one-sighting	space-marine-2	game-design.game-feel.combat.unknown	208087833	-	combat as symbol-watching (telegraph layer between player and fight)	more about watching the screen for blue and red flashing symbols to know when to block or when to dodge.
built r406 game-design.game-feel.combat.the-defence-crowds-out-the-shooting	7969	round 312	watch	space-marine-2	game-design.game-feel.combat.unknown	216646575	-	the defence layer sits between the player and the shooting (must parry all the time); build on a fourth	You MUST parry and evade attacks almost all the time
built r406 game-design.progression.unlock-pace.feels-powerful-early	8637	round 349	one-sighting	risk-of-rain-2	game-design.game-feel.combat.makes-you-feel-superhumanly-strong	63127033	+	feel powerful fast, without dozens of hours (inverse of unlock-pace.slow-start)	scratches the ARPG itch without investing dozens of hours before you feel powerful
built r406 game-design.game-feel.controls.too-many-buttons-to-manage	1254	gap 32	open-gap	helldivers-2	game-design.game-feel.controls.unknown	219080218	?	`.too-many-inputs-to-track` (or an accessibility.motor question for Rico)	way too many buttons to focus on keyboard
built r407 game-design.game-feel.controls.aim-response-is-inconsistent	1663	gap 50	open-gap	drg-rogue-core	game-design.game-feel.controls.unresponsive	231013391	-	`.aim-response-is-inconsistent`	i can move my mouse the same distance but somehow i end up turning different distances
existing r407 re-homed to game-design.game-feel.controls.aim-sensitivity-cannot-be-tuned	5215	gap 223	open-gap	aliens-fireteam-elite	game-design.game-feel.controls.unknown	114289002	-	mouse sensitivity capped too low and acceleration cannot be removed (input behaviour)	The max mouse sensitivity is 2.5. This is too slow for me... the game also contains mouse acceleration
built r407 game-design.game-feel.controls.aim-response-is-inconsistent (with 207697616, 207659048, 207516945)	7027	gap 321	open-gap	full-metal-schoolgirl	game-design.game-feel.controls.actions-trigger-by-themselves	207491180 207697616 207659048 207516945	-	the game changes your aim sensitivity by itself	When you're near traps it doubles your sensitivity... the mouse motion for 180 degrees now equals 360
existing r407 re-homed to community.player-conduct.the-review-teaches-you-how-to-play	7601	gap 351	watch	space-marine-2	game-design.game-feel.controls.unknown	175776479	~	neutral mention that single and multiplayer jump-pack equipment differ	how things differ between single and multiplayer equipment (JUMP-PACKS)
built r407 game-design.game-feel.movement.no-player-collision	7516	round 291	one-sighting	space-marine-2	game-design.game-feel.movement.unknown	175208610	-	no player collision feels cheap and breaks immersion	No player collision... feels very cheap and breaks immersion.
built r407 game-design.level-design.getting-lost-is-part-of-it	6860	gap 312	open-gap	immortal-unchained	game-design.level-design.unknown	44738719	~	being lost is the point (disorientation read as praise)	chances are you have no idea where you are at any given moment. that sounds like a bad thing but i really liked
built r407 game-design.modes.the-pvp-is-what-keeps-it-alive	7375	round 285	one-sighting	arc-raiders	game-design.modes.unknown	224997452	+	positive sibling of .the-pvp-feels-bolted-onto-a-pve-game: the change to PvP was right	this game was supposed to be pve but the devs changed it... because pve only is boring.
existing r407 re-homed to game-design.modes.a-mode-falls-flat	7395	gap 326	one-sighting	arc-raiders	game-design.modes.unknown	230570266	-	the third-person camera flattens the PvP fights	PvP can be a bit bland cause its 3rd person.
skip: the 'first game had X' tally is open with Rico	8326	round 327	watch	remnant-2	game-design.modes.expected-mode-missing	144865141	-	marketing.positioning.the-sequel-dropped-something-the-first-game-had (pattern; Rico's call) - Survival mode gone	
existing r407 fits game-design.modes.expected-mode-missing (no new game plus)	8588	round 343	one-sighting	remnant-2	game-design.modes.expected-mode-missing	228597696	-	no conventional new game plus	
built r407 game-design.modes.a-mode-is-locked-behind-gear	9197	round 385	one-sighting	warframe	game-design.modes.unknown	776593	-	the PvP mode is locked behind an inventory requirement	
existing r407 fits game-design.new-player-experience.easy-to-start	2215	gap 77	open-gap	redfall	game-design.new-player-experience.easy-to-start	221882982	+	co-op works from the first moment, no tutorial gate	No tutorial phase where you gotta "get to a certain spot" in order to unlock co-op. It just works first thing.
built r407 game-design.new-player-experience.returning-players-sent-back-through-the-tutorial	4376	gap 168	one-sighting	terminull-brigade	game-design.new-player-experience.buried-in-setup-before-playing	220429356	-	returning player forced through tutorial again after an update	
built r407 game-design.ui-ux.no-place-to-test-a-build	6118	gap 267	open-gap	aliens-fireteam-elite	game-design.new-player-experience.no-safe-place-to-learn	178096982	-	no safe target (training dummy/range) to test a build against	JUST ADD A SINGLE PRACTICE DUMMY AFTER 3 YEARS FOR THE LOVE OF GOD.
built r407 game-design.pacing.asks-for-no-thought	6201	gap 273	open-gap	aliens-fireteam-elite	game-design.pacing.unknown	186784591	-	negative of a-game-you-can-unwind-to: the game asks for no thought	This is just pure run and gun, with contrived tasks that serve to make things more difficult. No thought or intelligence needed.
existing r407 re-homed to game-design.pacing.the-level-pads-itself-with-lifts-and-walks	7821	round 305	one-sighting	space-marine-2	game-design.pacing.unknown	182849223	-	the game takes control away to talk at you (forced walk-and-talk)	long periods of time where the player has no agency and just has to listen to dialogue.
built r407 game-design.pacing.the-pressure-never-builds	7858	round 307	one-sighting	space-marine-2	game-design.pacing.unknown	187921153	-	the challenge never builds: pressure stays flat from start to finish	THE BATTLES ARE ALWAYS THE SAME LEVEL OF DIFFICULTY ... No Escalation nor Variety.
built r407 game-design.pacing.slow-to-get-going	8809	round 364	one-sighting	risk-of-rain-2	game-design.pacing.unknown	127659493	-	a little slow at the start (run or game unclear)	a little slow at the start
existing r407 re-homed to game-design.pacing.the-clock-is-the-thrill	8908	round 370	one-sighting	risk-of-rain-2	game-design.pacing.unknown	161918313	+	late-run escalation into bullet hell, said as praise	in the later stages it turns from a hero-shooter roguelike into a bullet-hell simulator
existing r407 fits game-design.power-balance.some-options-are-useless	1570	gap 45	open-gap	drg-rogue-core	game-design.power-balance.some-options-are-useless	226874438	-	a returning tool kept its place and lost its purpose	its relevance is almost naught
built r408 game-design.power-balance.no-build-is-required	5612	gap 244	open-gap	aliens-fireteam-elite	game-design.power-balance.well-tuned	135224394	+	no single build dominates, so a favourite weapon stays viable	if I like the Pulse Rifle, I can just build around it, and not be crippled
built r408 game-design.progression.build-and-customisation.finding-the-build-yourself-is-the-fun	6662	gap 298	open-gap	aliens-fireteam-elite	game-design.power-balance.unknown	223260202	~	do not look up the best build, knowing it spoils the game	Don't google it, you will ruin fun and balance of the game.
built r408 game-design.power-balance.every-option-plays-differently	7897	round 309	one-sighting	space-marine-2	game-design.power-balance.unknown	199241571	+	.every-option-plays-differently	Every weapon feels unique and impactful.
built r408 game-design.power-balance.rarity-does-not-match-usefulness	8719	round 358	one-sighting	risk-of-rain-2	game-design.power-balance.unknown	98585564	-	item rarity is at odds with usefulness (tiering is wrong)	
built r408 game-design.power-balance.something-needs-a-nerf	8821	round 365	one-sighting	risk-of-rain-2	game-design.power-balance.unknown	133828531	-	some items and modifiers are overpowered and remove needed skill	some items and modifiers are kind of overpowered and remove some needed skill
built r408 game-design.power-balance.something-needs-a-nerf	9142	round 381	one-sighting	risk-of-rain-2	game-design.power-balance.unknown	230565118	-	an item is overpowered: "nerf solus wing"	nerf solus wing
built r408 game-design.power-balance.power-creep	9228	round 388	one-sighting	warframe	game-design.power-balance.unknown	10487208	-	power creep: old gear loses relevance as newer gear arrives	
built r408 game-design.power-balance.gear-decides-the-pve-fight	9298	round 393	one-sighting	warframe	game-design.power-balance.unknown	15627119	-	mod power, not play, decides the PvE fight	either you cannot succeed or you cannot have fun
built r408 game-design.progression.achievements.easy-to-miss	2194	gap 76	open-gap	redfall	game-design.progression.achievements.unknown	217220281	-	achievements easy to miss, one-time window never returns	a lot of achievements being extremely easy to miss
existing r408 re-homed to game-design.progression.achievements.only-repetition-completes-the-set	6323	gap 280	open-gap	aliens-fireteam-elite	game-design.progression.achievements.unknown	195447402	-	negative of a-fair-set-to-finish: achievements finished by repetition alone	grinding for achievements becomes extremely boring. It's simply playing a level multiple times.
built r408 game-design.progression.build-and-customisation.upgrading-can-ruin-the-item	3532	gap 131	one-sighting	terminull-brigade	game-design.progression.build-and-customisation.choices-cannot-be-undone	202168202	-	upgrading an item can fail and destroy it; progress goes backwards	It removes 1 stat from your item/module making it a dead item.
built r408 game-design.progression.build-and-customisation.other-classes-unlock-your-build	5100	gap 219	open-gap	aliens-fireteam-elite	game-design.progression.build-and-customisation.unknown	111224943	~	you must play other classes to unlock perks for your own build	for some of the best builds you HAVE to play other classes a bit to unlock those perks. To some this may be a downside, But I think its great.
built r408 game-design.progression.build-and-customisation.pick-your-pronouns	5521	gap 241	open-gap	aliens-fireteam-elite	game-design.progression.build-and-customisation.unknown	130938542	+	character creator lets the player pick their pronouns	Love the marine customization options and also the ability to pick my pronouns.
built r408 game-design.progression.build-and-customisation.no-crafting-is-a-relief (bullet split)	5600	gap 243	open-gap	aliens-fireteam-elite	game-design.progression.build-and-customisation.changes-how-you-play	134657679	+	the absence of crafting is named as a relief (absence as benefit)	Some of the most interesting progression mechanics I've run into and blessedly; no crafting!
built r408 game-design.progression.cosmetic-rewards.you-cannot-see-them-while-playing	4284	gap 163	one-sighting	terminull-brigade	game-design.progression.cosmetic-rewards.not-worth-chasing	213157491	-	cosmetics cannot be seen by the player while playing (camera)	I cant see the front of my character most of the time
existing r408 re-homed to game-design.progression.cosmetic-rewards.too-few-to-choose-from	4496	gap 186	one-sighting	aliens-fireteam-elite	game-design.progression.cosmetic-rewards.unknown	98587457	-	there are not enough cosmetics	real good so far but needs more cosmetic
built r408 game-design.progression.cosmetic-rewards.you-cannot-see-them-while-playing	5116	gap 220	open-gap	aliens-fireteam-elite	game-design.progression.cosmetic-rewards.not-worth-chasing	109676560	-	the cosmetic the player earned cannot be seen in game	the insane amount of decals I have that only go on guns anyways and are literally impossible to see in game.
built r408 game-design.progression.unlock-pace.no-credit-for-the-earlier-game	1625	gap 48	open-gap	drg-rogue-core	game-design.progression.unlock-pace.unknown	227463157	?	no progression credit for time spent in the earlier game (maybe paired with gap 43)	How about some added progression for players from their time in the original DRG?
existing r408 fits game-design.progression.unlock-pace.respects-your-time	3390	gap 125	one-sighting	terminull-brigade	game-design.progression.unlock-pace.respects-your-time	201523627	+	F2P game deliberately has no stamina/energy timer	You can actually play all day if you want without waiting for energy to charge
built r408 game-design.progression.unlock-pace.needs-a-team-to-level-and-levels-to-find-a-team	5680	gap 246	open-gap	aliens-fireteam-elite	game-design.progression.unlock-pace.gated-behind-farming	142139507	-	deadlock: cannot level without people, cannot find people without levelling	So there's a catch-22. Can't level up b/c bot team mates and can't get human team mates below standard.
built r409 game-design.progression.unlock-pace.finishing-pays-nothing (with 215328210)	6527	gap 291	open-gap	aliens-fireteam-elite	game-design.progression.unlock-pace.unknown	215331196 215328210	-	finishing a campaign pays nothing (two reviews counted as one source)	There are no real rewards at the end of each campaign, and this leaves a very bitter taste.
existing r409 re-homed 138076943 to game-design.pacing.the-early-stages-of-every-run-are-dull; 138105024 stays on padding-a-short-game	7011	gap 320	open-gap	arcrunner	game-design.progression.unlock-pace.padding-a-short-game	138076943 138105024	-	meta-progression makes early floors a trivial chore you cannot skip	Roguelites with metaprogression need floor skip options, otherwise you end up in a situation where you're just enduring the tedium
built r409 game-design.progression.unlock-pace.rank-decays-if-you-stop-playing	7284	gap 339	one-sighting	arc-raiders	game-design.progression.unlock-pace.unknown	217819162	-	a rank is taken away for not logging in	The only thing i dislike is demotion of your trials rank if you are inactive
built r409 game-design.progression.unlock-pace.each-mode-levels-separately	7438	gap 346	one-sighting	space-marine-2	game-design.progression.unlock-pace.unknown	174564873	-	progress does not carry between the modes	The leveling being separate between the modes kind of blows... Customization carries over.
built r409 game-design.progression.unlock-pace.levelling-up-feels-like-nothing	7467	round 289	one-sighting	space-marine-2	game-design.progression.unlock-pace.unknown	174564000	-	levelling up does not make you feel stronger (no cause named)	dont feel stronger with each level at all
built r409 game-design.progression.unlock-pace.pays-for-finishing-not-for-playing	7825	round 305	one-sighting	space-marine-2	game-design.progression.unlock-pace.unknown	182849223	-	XP paid for finishing, not for playing	Sprinting through the mission and not playing should not be the most optimal way to farm XP.
built r409 game-design.progression.unlock-pace.levelling-up-feels-like-nothing	8122	round 319	one-sighting	remnant-2	game-design.progression.unlock-pace.unknown	143613520	-	levelling up gives nothing	Making leveling up completely pointless by not rewarding the player with anything.
built r409 game-design.progression.unlock-pace.the-classes-should-all-be-open-from-the-start	8242	round 324	one-sighting	remnant-2	game-design.progression.unlock-pace.unknown	145364531	-	unlock-pace.the-choice-of-class-should-not-be-an-unlock	Just wish all the archetypes were available at the beginning
built r409 game-design.progression.unlock-pace.little-reason-to-keep-going	8621	round 347	one-sighting	risk-of-rain-2	game-design.progression.unlock-pace.unknown	55007934	-	a lack of hard incentives to progress (bottom of the ladder)	hard to find the teleporter at times
